Item,Description,Quantity,Price,Source/Link
Raspberry Pi CM5,The Brain of the Project,1,"₹ 7,999.00",Robu(https://robu.in/product/raspberry-pi-compute-module-5-4gb-16gb/)
Waveshare Mini Base Board (A) Designed for Raspberry Pi Compute Module 5,Neural System of the Project,1,"₹ 1,749.00",Robu(https://robu.in/product/waveshare-mini-base-board-a-designed-for-raspberry-pi-compute-module-5/)
CALANDIS® New 8MP IMX219 Camera Module for Raspberry Pi V2 Camera Video Recording,Eyes of the project,2,"₹1,611.00 ",Amazon(https://amzn.in/d/bqIf9hb)
Ambrane RCT15A,To communicate with brain,1,₹149,Amazon(https://amzn.in/d/eNTOdqS)
64 Gb Micro Sd cARD,More Storage for the project,1,₹0,Recycled from my old phone
Portronics Luxcell Uno 10K,Portable power back up,1,₹799 ,Amazon(https://amzn.in/d/gQ2PeP4)
Raspberry Pi Official Power Supply,Power ,1,₹790,Amazon(https://amzn.in/d/dRR0Jzf)
15 Pin to 22 Pin FFC Cable,Cable connecting Camera and Neural System,2,"₹920",Amazon(https://amzn.in/d/aKWJjB5)
 Waveshare 3007-B 5V(cooling fan),For cooling the Brain,1,₹ 849.00 ,Robu(https://robu.in/product/waveshare-dedicated-all-in-one-3007-b-cooling-fan/)
cad model,,1,₹339,

Total Amount,,,"₹ 17,737.00",

